,channelTitle,videoTitle,videoView,videoLike,videoDislike,videoComment,publishedAt,publishedAt_string,Year,Month,DayofWeek,publishedAt_month,Month_str
0,Schannel,Đeo tai nghe và hát liên khúc tuổi thơ 9x: Nghe xong muốn xoá luôn kí ức !!,7758,856,8,69,20-05-16,2020-05-16,2020,5,Sat,2020-05,May
1,Schannel,󠀀󠀀Vlog Mi Sơn: Kí sự trốn vợ đi đổi xe của sếp Huy !,10674,1169,17,61,20-05-16,2020-05-16,2020,5,Sat,2020-05,May
2,Schannel,"Đại chiến: 󠀀󠀀Chi Pu, Bích Phương cùng comeback | Người Việt nguyện hiến phổi lên báo quốc tế",81656,3621,53,183,20-05-15,2020-05-15,2020,5,Fri,2020-05,May
3,Schannel,󠀀󠀀Reaction Không Thể Cùng Nhau Suốt Kiếp - Hoà Minzy: Tái hiện drama tuesday lịch sử !,122808,4542,68,189,20-05-15,2020-05-15,2020,5,Fri,2020-05,May
4,Schannel,[MV PARODY] Thằng Điên Mùa Dịch (Thằng Điên Parody) - SCHANNEL,32754,1655,39,87,20-05-15,2020-05-15,2020,5,Fri,2020-05,May
5,Schannel,Sơn Tùng kết hợp cùng Đen Vâu tại Seagame 31? | Lady Gaga x BlackPink : Lộ diện màn hợp tác !,183565,5221,102,302,20-05-14,2020-05-14,2020,5,Thu,2020-05,May
6,Schannel,󠀀󠀀GAME HACK NÃO: Đau đầu khi đoán tên sao Hàn qua ảnh thời niên thiếu,49351,1499,46,113,20-05-14,2020-05-14,2020,5,Thu,2020-05,May
7,Schannel,Thử tài đoán quê các thành viên Schannel qua 3 đặc điểm,151528,5473,73,721,20-05-14,2020-05-14,2020,5,Thu,2020-05,May
8,Schannel,󠀀󠀀Hoà Minzy comeback sau 2 năm vắng bóng | Nổ tranh cãi vụ chuyển nhầm 30 triệu - GNCN 13/5,113238,2876,64,160,20-05-13,2020-05-13,2020,5,Wed,2020-05,May
9,Schannel,"Kỳ án đốt người, giả chết, đào mộ trục lợi 18 tỷ: Ly kì hơn cả Conan",161577,4803,61,477,20-05-13,2020-05-13,2020,5,Wed,2020-05,May
10,Schannel,Đặt câu với 3 từ NGẪU NHIÊN  : Thử thách lầy lội nhất từ trước đến nay !,72040,2978,33,117,20-05-12,2020-05-12,2020,5,Tue,2020-05,May
11,Schannel,"Quỳnh Anh gắt vì tin đồn bị Duy Mạnh “đi đường quyền""  | Núi rác của cô gái vàng trong làng thuê nhà",274913,6135,91,221,20-05-12,2020-05-12,2020,5,Tue,2020-05,May
12,Schannel,Team UT: Bánh bao kiểu Châu Âu : Có phải là thảm hoạ ?,138058,3999,52,165,20-05-12,2020-05-12,2020,5,Tue,2020-05,May
13,Schannel,"Hại cháu, giả chết để trục lợi bảo hiểm 18 tỉ |  Quang Hải & Nhật Lê lại làm MXH xôn xao - GNCN 11/5",422614,9225,146,459,20-05-11,2020-05-11,2020,5,Mon,2020-05,May
14,Schannel,Cafe mèo của Linh Ngọc Đàm : Có gì mà giới trẻ ùn ùn kéo tới !,192205,6042,116,158,20-05-11,2020-05-11,2020,5,Mon,2020-05,May
15,Schannel,Vlog Mi Sơn : Hồi ức thanh xuân của Julia Hải Yến | Review Đại Học Công Đoàn,137546,4356,51,542,20-05-13,2020-05-13,2020,5,Wed,2020-05,May
16,Schannel,"S News t1/T5: Bphone B86 ra mắt, LG Velvet quá đắt, App vay tiền toàn chủ là Trung Quốc",84155,1937,78,257,20-05-10,2020-05-10,2020,5,Sun,2020-05,May
17,Schannel,1977 Vlog bất ngờ trở lại với vlog mới | CĐM dậy sóng Lee Min Ho đăng ảnh tình tứ - GNCN 9/5,156369,3830,75,132,20-05-09,2020-05-09,2020,5,Sat,2020-05,May
18,Schannel,Team Sài Gòn chơi Tik Tok - Và cái kết QUÁ MỆT MỎI,61182,1999,59,52,20-05-09,2020-05-09,2020,5,Sat,2020-05,May
19,Schannel,Hoảng hồn khi xem ảnh chứng minh nhân dân của dàn host Schannel HCM: Chẳng nhận ra ai!!!,143769,4336,50,189,20-05-09,2020-05-09,2020,5,Sat,2020-05,May
20,Schannel,󠀀󠀀Hot girl 9x ĐH Y bị tố bất chấp làm người thứ 3 | Hòa Minzy comeback với MV cung đình? - GNCN 8/5,214826,4716,59,297,20-05-08,2020-05-08,2020,5,Fri,2020-05,May
21,Schannel,"Reaction Em Không Sai, Chúng Ta Sai - ERIK: Top 1 trending sau chưa đầy 24h",276985,7812,116,341,20-05-08,2020-05-08,2020,5,Fri,2020-05,May
22,Schannel,󠀀󠀀Ngã ngửa khi đoán giá giày hiệu Jimmy Choo,99698,2744,157,93,20-05-08,2020-05-08,2020,5,Fri,2020-05,May
23,Schannel,MV mới của Erik leo top 1 trending | Đề thi THPT năm nay sẽ dễ hơn ? - GNCN 7/5,100127,3079,58,125,20-05-07,2020-05-07,2020,5,Thu,2020-05,May
24,Schannel,"󠀀󠀀Nam Thần Quân Y bị tố là ""phịch thủ"" nghìn tay : Chị em đua nhau tiếc rẻ ! - Hít Hà Drama",603719,28498,846,1610,20-05-07,2020-05-07,2020,5,Thu,2020-05,May
25,Schannel,󠀀󠀀Hé lộ thành viên tiếp theo cưới ở Schannel trước 30 tuổi | HỎI XOAY ĐÁP XOÁY,112526,3881,55,152,20-05-07,2020-05-07,2020,5,Thu,2020-05,May
26,Schannel,󠀀󠀀Nhiều HS cưới vì … nghỉ dịch quá lâu | Xôn xao bạn trai đại gia tin đồn Trâm Anh - GNCN 6/5,503292,12652,211,1001,20-05-06,2020-05-06,2020,5,Wed,2020-05,May
27,Schannel,Hoảng hồn khi xem ảnh chứng minh thư của Team NTVP : Dậy thì thất bại !!!,176249,5346,80,229,20-05-06,2020-05-06,2020,5,Wed,2020-05,May
28,Schannel,Ai là trùm Tiktok của Schannel ?,218808,9197,102,597,20-05-06,2020-05-06,2020,5,Wed,2020-05,May
29,Schannel,󠀀󠀀Thủ tướng “giục FA cưới” trước 30 |  Chuyện tình cô dâu 54 và chàng trai tây 24 tuổi - GNCN 5/5,189530,4982,104,470,20-05-05,2020-05-05,2020,5,Tue,2020-05,May
30,Schannel,Vlog Mi Sơn : Lần đầu bán bún đậu chửi cùng sếp Huy NL!,231775,7097,104,259,20-05-10,2020-05-10,2020,5,Sun,2020-05,May
31,Schannel,󠀀󠀀HXDX: Muôn kiểu phản ứng của học sinh ngày đầu quay lại lớp!,136197,6262,55,348,20-05-05,2020-05-05,2020,5,Tue,2020-05,May
32,Schannel,Ngọc Trinh dạy dỗ Ngân 98 sau phát ngôn sốc? | Blackpink xác nhận comeback tháng 6 - GNCN 4/5,383343,11688,272,687,20-05-04,2020-05-04,2020,5,Mon,2020-05,May
33,Schannel,GAME HACK NÃO: Rơi mất não khi ôn lại kiến thức văn học!,131219,4192,65,208,20-05-04,2020-05-04,2020,5,Mon,2020-05,May
34,Schannel,"󠀀󠀀S News t5/T4: Microsoft dàn xếp tranh cãi chính tả lịch sử, iPhone 12 sẽ lại rẻ hơn",115101,2786,64,139,20-05-03,2020-05-03,2020,5,Sun,2020-05,May
35,Schannel,Lần đầu sờ tận tay ngôi nhà chứa 69 tỉ tiền mặt !,581115,3692,313,152,20-05-03,2020-05-03,2020,5,Sun,2020-05,May
36,Schannel,"󠀀󠀀Blackpink sẽ comeback cùng G-Dragon? | Học sinh, SV kết thúc kì nghỉ Tết dài nhất lịch sử - GNCN",151794,5235,80,496,20-05-02,2020-05-02,2020,5,Sat,2020-05,May
37,Schannel,Hoảng hồn khi xem ảnh chứng minh thư của Schannel HN: Dậy thì thành công hay thất bại !?,306325,8795,90,356,20-05-02,2020-05-02,2020,5,Sat,2020-05,May
38,Schannel,"Tranh cãi ""Bánh tráng Luxury 200k"" của Lý Quý Khánh | Tìm được 2 bé trai mất tích bí hiểm - GNCN 1/5",235363,5940,87,385,20-05-01,2020-05-01,2020,5,Fri,2020-05,May
39,Schannel,Rộ tin Hàn Hằng & Huyme chia tay vì drama Trang Lou | Anh chồng bị cắm tiếp tục lên tiếng- GNCN 30/4,246442,5355,98,159,20-04-30,2020-04-30,2020,4,Thu,2020-04,Apr
40,Schannel,Team UT : Ăn bún đậu nhà Mây Bồng Bềnh - Tiết lộ gia thế và chuỗi nhà hàng căng cực,499265,14230,158,586,20-04-30,2020-04-30,2020,4,Thu,2020-04,Apr
41,Schannel,󠀀󠀀Luxury Brand vs Fast Fashion vs Local Brand: Ủng hộ cái nào ??? | HXDX,71662,2615,39,169,20-04-30,2020-04-30,2020,4,Thu,2020-04,Apr
42,Schannel,"󠀀󠀀Đổi thủ mới đánh bại cả Jack & Sơn Tùng ? | Sao Việt, Hàn cùng nhận ""tin vui"" - GNCN 29/4",475027,14941,502,1599,20-04-29,2020-04-29,2020,4,Wed,2020-04,Apr
43,Schannel,󠀀󠀀GAME HACK NÃO - Nghe nhạc OST đoán tên film : Ai là mọt phim nhất Schannel,231570,8409,110,445,20-05-01,2020-05-01,2020,5,Fri,2020-05,May
44,Schannel,Khám phá Ga Metro đầu tiên ở SG lột xác cực đẹp sau khi hết cách ly,68607,1944,52,127,20-04-29,2020-04-29,2020,4,Wed,2020-04,Apr
45,Schannel,"󠀀Xôn xao vụ chồng bị cắm sừng hot nhất đêm qua | Tập 2 drama Trần Đức Bo vs Hot Girl “Trứng rán""",560829,15507,285,733,20-04-28,2020-04-28,2020,4,Tue,2020-04,Apr
46,Schannel,󠀀󠀀GAME HACK NÃO: Đau não khi đoán tên người nổi tiếng kiểu đường lên đỉnh Olympia!?,230075,6800,96,195,20-04-28,2020-04-28,2020,4,Tue,2020-04,Apr
47,Schannel,"󠀀HXDX: Học sinh 2K2 bàng hoàng, bộ giáo dục quay xe",51787,2468,36,167,20-04-28,2020-04-28,2020,4,Tue,2020-04,Apr
48,Schannel,"󠀀󠀀Drama Trần Đức Bo vs Hot Girl “Trứng rán"" | Xôn xao sách của anh Huấn Hoa Hồng - GNCN 27/4",548486,14053,249,721,20-04-27,2020-04-27,2020,4,Mon,2020-04,Apr
49,Schannel,Vlog Mi Sơn trở lại - Những nơi nhất định phải đi sau cách ly | Bàn chuyện đi ĐH nào tiếp theo !,109603,3356,47,158,20-04-27,2020-04-27,2020,4,Mon,2020-04,Apr
50,Schannel,Đại chiến Bánh mì bơ tỏi: Bóng đêm vs Trứng muối vs Truyền thống - Vị nào ngon nhất ?,82486,2552,60,107,20-04-27,2020-04-27,2020,4,Mon,2020-04,Apr
51,Schannel,"S News t4/T4: Huawei lại nói dối về ảnh chụp điện thoại, Facebook đạo nhái Zoom trắng trợn",101914,2574,60,98,20-04-26,2020-04-26,2020,4,Sun,2020-04,Apr
52,Schannel,"Nhà văn Gào bị “Ẩm Thực Mẹ Làm"" tố dùng hình trái phép   | 5 ca bất ngờ dương tính lại - GNCN 25/4",192508,4750,92,230,20-04-25,2020-04-25,2020,4,Sat,2020-04,Apr
53,Schannel,󠀀󠀀Toàn cảnh #5: Giá dầu âm là gì? | Được mua xăng miễn phí?,38216,1210,30,63,20-04-25,2020-04-25,2020,4,Sat,2020-04,Apr
54,Schannel,Thử độ phản xạ nhanh của Schannel | Thách bạn nói đúng 100%,296211,12104,126,629,20-04-26,2020-04-26,2020,4,Sun,2020-04,Apr
55,Schannel,"Thay đổi lịch sử của kỳ thi THPT - Học sinh 12 hoang mang, lo sợ ?",133107,4378,58,547,20-04-25,2020-04-25,2020,4,Sat,2020-04,Apr
56,Schannel,󠀀󠀀Chi Pu hé lộ Anh ơi ở lại 2 | Thái Vũ (FAPtv) khẩu chiến fan Jack - GNCN 24/4,400362,10846,242,770,20-04-24,2020-04-24,2020,4,Fri,2020-04,Apr
57,Schannel,Đoán tên phim Disney đình đám - 9x liệu có nhớ hết?,140051,4604,63,348,20-04-26,2020-04-26,2020,4,Sun,2020-04,Apr
58,Schannel,Nửa đêm bỏ 50 triệu mua 4 iPhone SE 2020,72009,2332,57,128,20-04-23,2020-04-23,2020,4,Thu,2020-04,Apr
59,Schannel,"Sau liên hoàn phốt, Quản lý hot girl ""trứng rán"" nói gì | Cha đẻ ATM gạo xin lỗi cô gái- GNCN",398609,9476,185,648,20-04-23,2020-04-23,2020,4,Thu,2020-04,Apr
